what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1305408268292
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1305408268511
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1305408293139
error,log,,,"problem with reconciling",1305408293758
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1305408294760
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1305408295676
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305408296891
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305408301257
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1305408304121
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305408305196
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1305408305207
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1305408305207
error,log,,,"Validator JSP Syntax Validator finished validating: file:/C:/Users/matt/Workspaces/CS633/SearchEngine/WebContent/header.inc",1305408305278
error,log,,,"",1305408305279
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1305408306851
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1305408315627
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1305408324480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305408328091
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305408378427
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1305408386523
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305408389928
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305408394840
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1305408398695
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1305408408844
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305408411053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305408418516
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1305408428119
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1305408428654
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1305408428928
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1305408518391
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1305408529796
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1305408553279
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1305408555605
error,log,,,"Validator JSP Syntax Validator finished validating: file:/C:/Users/matt/Workspaces/CS633/SearchEngine/WebContent/header.inc",1305408555917
error,log,,,"",1305408555932
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1305408569656
